ken,date,day,u,n,a,wind,wave
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,津軽,2022-11-09T11:00:00+09:00,晴れ,西の風　後　南の風　海上　では　南西の風　やや強く
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,津軽,2022-11-10T00:00:00+09:00,くもり　夕方　から　晴れ　所により　朝　から　昼前　雨,南西の風　後　西の風　海上　では　西の風　やや強く
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,津軽,2022-11-11T00:00:00+09:00,晴れ　時々　くもり,南の風
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,下北,2022-11-09T11:00:00+09:00,晴れ,西の風　後　南の風　海上　では　南西の風　やや強く
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,下北,2022-11-10T00:00:00+09:00,くもり　夕方　から　晴れ,南西の風　後　西の風　海上　では　西の風　やや強く
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,下北,2022-11-11T00:00:00+09:00,晴れ　時々　くもり,南の風
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,三八上北,2022-11-09T11:00:00+09:00,晴れ,西の風　やや強く　後　南西の風
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,三八上北,2022-11-10T00:00:00+09:00,くもり　夕方　から　晴れ,南西の風　後　西の風　やや強く
aomor,青森地方気象台,2022-11-09T11:00:00+09:00,三八上北,2022-11-11T00:00:00+09:00,晴れ　時々　くもり,西の風　後　南の風
nar,奈良地方気象台,2022-11-09T11:00:00+09:00,北部,2022-11-09T11:00:00+09:00,晴れ,西の風　後　東の風
nar,奈良地方気象台,2022-11-09T11:00:00+09:00,北部,2022-11-10T00:00:00+09:00,晴れ　時々　くもり,東の風　日中　西の風
nar,奈良地方気象台,2022-11-09T11:00:00+09:00,北部,2022-11-11T00:00:00+09:00,晴れ,東の風
nar,奈良地方気象台,2022-11-09T11:00:00+09:00,南部,2022-11-09T11:00:00+09:00,晴れ,南の風　後　北の風
nar,奈良地方気象台,2022-11-09T11:00:00+09:00,南部,2022-11-10T00:00:00+09:00,晴れ　時々　くもり,北の風　日中　南の風
nar,奈良地方気象台,2022-11-09T11:00:00+09:00,南部,2022-11-11T00:00:00+09:00,晴れ　時々　くもり,南の風
